Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
Lose It,3:00,Kane Brown,Experiment Extended,Country,1,3,07/06/2018,2018,15,"10/02/2024, 7:03 AM","06/08/2020, 12:01 AM"
Lose Somebody,3:20,Kygo & OneRepublic,Golden Hour,Dance,1,6,15/05/2020,2020,17,"02/09/2024, 7:22 AM","14/08/2020, 1:01 PM"
Lose You to Love Me,3:26,Selena Gomez,Rare,Pop,0,2,23/10/2019,2019,3,"20/07/2024, 7:46 AM","22/10/2023, 7:42 PM"
Lose Yourself,5:20,Eminem,8 Mile (Music From And Inspired By The Motion Picture),Hip-Hop/Rap,0,5,28/10/2002,2002,7,"10/10/2023, 5:15 AM","16/04/2022, 4:42 PM"
"Lose Yourself (From ""8 Mile"")",5:26,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,,22/10/2002,2002,,,"22/06/2024, 7:08 AM"
Lose Yourself (Soundtrack Version),5:26,Eminem,Curtain Call: The Hits,Hip-Hop/Rap,0,,22/10/2002,2002,1,,"27/05/2024, 2:39 PM"
Losing My Mind,3:32,Charlie Puth,Nine Track Mind,Pop,0,,29/01/2016,2016,4,,"30/04/2024, 9:16 PM"
Lost in the Middle of Nowhere (Spanish Remix),3:10,Kane Brown & Becky G.,Lost in the Middle of Nowhere (Spanish Remix) - Single,Latin Urban,1,7,29/03/2019,2019,11,"09/03/2022, 9:37 AM","05/11/2020, 1:46 PM"
Love Lies,3:21,Khalid & Normani,"Love, Simon (Original Motion Picture Soundtrack)",R&B/Soul,1,11,14/02/2018,2018,12,"15/12/2023, 7:56 AM","28/10/2020, 12:59 AM"
Love Me (feat. Drake & Future),4:15,Lil Wayne,I Am Not a Human Being II (Deluxe Version),Hip-Hop/Rap,1,3,18/01/2013,2013,12,"20/10/2023, 4:59 PM","06/08/2020, 2:36 PM"
Love Me Again,4:00,John Newman,Tribute (Deluxe),Pop,0,2,17/05/2013,2013,3,"24/03/2024, 2:29 PM","30/10/2023, 8:31 PM"
"Love Me Like You Do (From ""Fifty Shades of Grey"")",4:13,Ellie Goulding,Delirium (Deluxe),Pop,1,4,07/01/2015,2015,8,"28/09/2022, 11:29 AM","20/12/2020, 11:53 AM"
